Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,479.816986,539.719971,479.816986,500.126007,500.126007,7652060
2017-10-24,498.444000,500.755005,141.095001,142.917007,142.917007,23301700
2017-10-25,143.151993,165.802002,125.834000,137.085007,137.085007,16040700
2017-10-26,137.031006,143.639008,121.047997,136.231995,136.231995,11556600
2017-10-27,137.242996,137.983002,118.330002,120.656998,120.656998,8217860
2017-10-28,120.524002,123.433998,106.176003,115.819000,115.819000,5635800
2017-10-29,115.917999,139.264999,115.210999,139.182999,139.182999,11295300
2017-10-30,138.649002,138.649002,126.419998,132.802994,132.802994,6730380
2017-10-31,133.843002,164.548996,132.160995,156.731003,156.731003,18906800
2017-11-01,157.024994,159.763000,140.554001,144.880005,144.880005,14898100
2017-11-02,144.895996,147.024994,122.967003,127.505997,127.505997,12020600
2017-11-03,126.353996,137.289993,123.553001,131.764999,131.764999,8035790
2017-11-04,131.604004,144.410995,128.279999,142.171005,142.171005,9145650
2017-11-05,141.792999,175.955994,139.994995,165.759003,165.759003,16915700
2017-11-06,165.485992,170.188995,148.123001,148.768005,148.768005,10901900
2017-11-07,149.248001,159.216995,149.248001,153.348999,153.348999,7219510
2017-11-08,153.134995,159.339996,135.214005,139.389999,139.389999,12513700
2017-11-09,140.514008,156.664993,138.231003,156.664993,156.664993,13140500
2017-11-10,157.490005,213.403000,155.391998,213.403000,213.403000,36198500
2017-11-11,213.123993,509.811005,213.123993,427.135010,427.135010,187191008
2017-11-12,421.750000,465.618011,281.545013,282.407013,282.407013,90339904
2017-11-13,277.002991,307.259003,218.339005,249.220993,249.220993,45916500
2017-11-14,253.214996,253.214996,154.052002,159.940994,159.940994,39340400
2017-11-15,160.539001,187.278000,151.466003,161.690994,161.690994,30094100
2017-11-16,161.871994,181.330002,136.395004,140.776993,140.776993,27949200
2017-11-17,138.751007,165.934998,133.048004,152.020004,152.020004,24935100
2017-11-18,153.072006,172.449997,151.787003,155.727005,155.727005,24642900
2017-11-19,154.914993,155.548004,133.962006,135.686005,135.686005,19503400
2017-11-20,135.197006,247.102005,105.788002,236.373001,236.373001,93826896
2017-11-21,250.850998,364.782990,201.895996,267.208008,267.208008,370782016
2017-11-22,264.182007,275.053009,232.916000,241.723999,241.723999,111451000
2017-11-23,241.970993,299.894012,241.970993,293.613007,293.613007,154038000
2017-11-24,295.752991,413.743988,284.259003,394.217987,394.217987,537472000
2017-11-25,394.042999,394.042999,339.101013,356.036987,356.036987,208662000
