formField,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
yearEnded,year ended,year ended,year ended,year,year,Year ended 31 March,Year ended 31 March,Year ended 31 March,Year ended 31 March,Year ended 31 March,Year ended 31 March,Year ended 31 March,Year ended 31 March,Year ended 31 March,Year ended 31 March,Year ended 31 March
irdNumber,IRD 1,IRD 1,IRD 1,IRD number,IRD number,Text28,Text28,IRD number,IRD number,IRD number,IRD number,IRD number,IRD number,IRD number,IRD number,IRD number
fullName,your full name,your full name,your full name,Full Name,Full Name,Full name,Full name,Full name,Full name,Full name,Full name,Full name,Full name,Full name,Full name,Full name
multipleActivityRadio,1 yes/no,1 yes/no,1 yes/no,Yes/No 1,Yes/No 1,Group29,Group29,1 Yes/No,1 Yes/No,1 Yes/No,1 Yes/No,1 Yes/No,1 Yes/No,1 Yes/No,1 Yes/No,1 Yes/No
multipleActivityRadio_true,Choice1,Choice1,Choice1,Choice1,Choice1,Choice1,Choice1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
multipleActivityRadio_false,Choice2,Choice2,Choice2,Choice2,Choice2,Choice2,Choice2,No,No,No,No,No,No,No,No,No
grossIncome,2,2,2,sales/services,sales/services,Text30.0,Text30.0,2 Gross income,2 Gross income,2 Gross income,2 Gross income,2 Gross income,2 Gross income,2 Gross income,2 Gross income,2 Gross income
openingStock,2.1,2.1,2.1,opening stock,opening stock,Text30.1,Text30.1,3 Cost of goods sold - stock,3 Cost of goods sold - stock,3 Cost of goods sold - stock,3 Cost of goods sold - stock,3 Cost of goods sold - stock,3 Cost of goods sold - stock,3 Cost of goods sold - stock,3 Cost of goods sold - stock,3 Cost of goods sold - stock
purchases,2.2,2.2,2.2,purchases,purchases,Text30.2,Text30.2,4 Purchases,4 Purchases,4 Purchases,4 Purchases,4 Purchases,4 Purchases,4 Purchases,4 Purchases,4 Purchases
closingStock,2.3,2.3,2.3,closing stock,closing stock,Text30.3,Text30.3,5 Closing stock,5 Closing stock,5 Closing stock,5 Closing stock,5 Closing stock,5 Closing stock,5 Closing stock,5 Closing stock,5 Closing stock
grossProfit,2.4.0,2.4.0,2.4.0,Gross Profit/Loss,Gross Profit/Loss,Text30.4,Text30.4,6 Gross profit,6 Gross profit,6 Gross profit,6 Gross profit,6 Gross profit,6 Gross profit,6 Gross profit,6 Gross profit,6 Gross profit
interestReceived,2.4.1,2.4.1,2.4.1,gross interest,gross interest,Text30.5,Text30.5,7 Gross income - Interest,7 Gross income - Interest,7 Gross income - Interest,7 Gross income - Interest,7 Gross income - Interest,7 Gross income - Interest,7 Gross income - Interest,7 Gross income - Interest,7 Gross income - Interest
dividends,2.4.2,2.4.2,2.4.2,dividends,dividends,Text30.6,Text30.6,8 Gross income - Dividends,8 Gross income - Dividends,8 Gross income - Dividends,8 Gross income - Dividends,8 Gross income - Dividends,8 Gross income - Dividends,8 Gross income - Dividends,8 Gross income - Dividends,8 Gross income - Dividends
leasePayments,2.4.3,2.4.3,2.4.3,"gross rentals, etc","gross rentals, etc",Text30.7,Text30.7,"9 Gross income - Rental, lease and licence","9 Gross income - Rental, lease and licence","9 Gross income - Rental, lease and licence","9 Gross income - Rental, lease and licence","9 Gross income - Rental, lease and licence","9 Gross income - Rental, lease and licence","9 Gross income - Rental, lease and licence","9 Gross income - Rental, lease and licence","9 Gross income - Rental, lease and licence"
otherIncome,2.4.4.0.0,2.4.4.0.0,2.4.4.0.0,other income,other income,Text30.8,Text30.8,10 Gross income - other,10 Gross income - other,10 Gross income - other,10 Gross income - other,10 Gross income - other,10 Gross income - other,10 Gross income - other,10 Gross income - other,10 Gross income - other
totalIncome,2.4.4.0.1,2.4.4.0.1,2.4.4.0.1,Total Income/Loss,Total Income/Loss,Text30.9,Text30.9,11 Total income,11 Total income,11 Total income,11 Total income,11 Total income,11 Total income,11 Total income,11 Total income,11 Total income
badDebts,2.4.4.1,2.4.4.1,2.4.4.1,bad debts,bad debts,Text30.10,Text30.10,12 Expenses - Bad debts,12 Expenses - Bad debts,12 Expenses - Bad debts,12 Expenses - Bad debts,12 Expenses - Bad debts,12 Expenses - Bad debts,12 Expenses - Bad debts,12 Expenses - Bad debts,12 Expenses - Bad debts
depreciation,2.4.4.2,2.4.4.2,2.4.4.2,accounting,accounting,Text30.11,Text30.11,13 Expenses - depreciation,13 Expenses - depreciation,13 Expenses - depreciation,13 Expenses - depreciation,13 Expenses - depreciation,13 Expenses - depreciation,13 Expenses - depreciation,13 Expenses - depreciation,13 Expenses - depreciation
entertainment,2.4.4.3,2.4.4.3,2.4.4.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fringeBenefitTax,2.4.4.4,2.4.4.4,2.4.4.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
insurance,2.4.4.5,2.4.4.5,2.4.4.5,insurance,insurance,Text30.12,Text30.12,14 Expenses - insurance,14 Expenses - insurance,14 Expenses - insurance,14 Expenses - insurance,14 Expenses - insurance,14 Expenses - insurance,14 Expenses - insurance,14 Expenses - insurance,14 Expenses - insurance
consultingFees,0,0,0,consulting,consulting,Text30.14,Text30.14,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees
interestExpenses,2.4.4.6,2.4.4.6,2.4.4.6,interest loss,interest loss,Text30.13,Text30.13,15 Expenses - interest,15 Expenses - interest,15 Expenses - interest,15 Expenses - interest,15 Expenses - interest,15 Expenses - interest,15 Expenses - interest,15 Expenses - interest,15 Expenses - interest
legalExpenses,2.4.4.7,2.4.4.7,2.4.4.7,consulting,consulting,consulting,consulting,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees,16 Expenses - consulting fees
rates,2.4.4.8,2.4.4.8,2.4.4.8,rates,rates,Text30.15,Text30.15,17 Expenses - rates,17 Expenses - rates,17 Expenses - rates,17 Expenses - rates,17 Expenses - rates,17 Expenses - rates,17 Expenses - rates,17 Expenses - rates,17 Expenses - rates
leasePaymentExpenses,2.4.4.9,2.4.4.9,2.4.4.9,"rentals, etc loss","rentals, etc loss",Text30.16,Text30.16,"18 Expenses - Rental, lease and licence","18 Expenses - Rental, lease and licence","18 Expenses - Rental, lease and licence","18 Expenses - Rental, lease and licence","18 Expenses - Rental, lease and licence","18 Expenses - Rental, lease and licence","18 Expenses - Rental, lease and licence","18 Expenses - Rental, lease and licence","18 Expenses - Rental, lease and licence"
repairs,2.4.4.10,2.4.4.10,2.4.4.10,maintenance,maintenance,Text30.17,Text30.17,19 Expenses - Repairs and maintenance,19 Expenses - Repairs and maintenance,19 Expenses - Repairs and maintenance,19 Expenses - Repairs and maintenance,19 Expenses - Repairs and maintenance,19 Expenses - Repairs and maintenance,19 Expenses - Repairs and maintenance,19 Expenses - Repairs and maintenance,19 Expenses - Repairs and maintenance
researchAndDevelopment,2.4.4.11,2.4.4.11,2.4.4.11,R&D,R&D,Text30.18,Text30.18,20 Expenses - Research and development,20 Expenses - Research and development,20 Expenses - Research and development,20 Expenses - Research and development,20 Expenses - Research and development,20 Expenses - Research and development,20 Expenses - Research and development,20 Expenses - Research and development,20 Expenses - Research and development
relatedPartyRenumeration,0,0,0,remuneration,remuneration,Text30.19,Text30.19,21 Expenses - remuneration,21 Expenses - remuneration,21 Expenses - remuneration,21 Expenses - remuneration,21 Expenses - remuneration,21 Expenses - remuneration,21 Expenses - remuneration,21 Expenses - remuneration,21 Expenses - remuneration
salaryAndWages,2.4.4.12,2.4.4.12,2.4.4.12,salaries/wages,salaries/wages,Text30.20,Text30.20,22 Expenses - salaries and wages,22 Expenses - salaries and wages,22 Expenses - salaries and wages,22 Expenses - salaries and wages,22 Expenses - salaries and wages,22 Expenses - salaries and wages,22 Expenses - salaries and wages,22 Expenses - salaries and wages,22 Expenses - salaries and wages
subcontractorPayments,2.4.4.13,2.4.4.13,2.4.4.13,contractors,contractors,Text30.21,Text30.21,23 Expenses - contractors,23 Expenses - contractors,23 Expenses - contractors,23 Expenses - contractors,23 Expenses - contractors,23 Expenses - contractors,23 Expenses - contractors,23 Expenses - contractors,23 Expenses - contractors
travel,2.4.4.14,2.4.4.14,2.4.4.14,0,0,0,0,0,0,0,0,0,0,0,0,0
vehicleExpenses,2.4.4.15,2.4.4.15,2.4.4.15,0,0,0,0,0,0,0,0,0,0,0,0,0
otherExpenses,2.4.4.16,2.4.4.16,2.4.4.16,other expenses,other expenses,Text30.22,Text30.22,24 Expenses - other,24 Expenses - other,24 Expenses - other,24 Expenses - other,24 Expenses - other,24 Expenses - other,24 Expenses - other,24 Expenses - other,24 Expenses - other
totalExpenses,2.4.4.17,2.4.4.17,2.4.4.17,Total Expenses,Total Expenses,Text30.23,Text30.23,25 Total expenses,25 Total expenses,25 Total expenses,25 Total expenses,25 Total expenses,25 Total expenses,25 Total expenses,25 Total expenses,25 Total expenses
exceptionalItems,0,0,0,Exceptional items or loss,Exceptional items or loss,Text30.24,Text30.24,26 Exceptional items,26 Exceptional items,26 Exceptional items,26 Exceptional items,26 Exceptional items,26 Exceptional items,26 Exceptional items,26 Exceptional items,26 Exceptional items
taxableProfit,2.4.4.18.0,2.4.4.18.0,2.4.4.18.0,Taxable Profit/Loss,Taxable Profit/Loss,Text30.26.1,Text30.26.1,29  taxable profit/loss,29  taxable profit/loss,29  taxable profit/loss,29  taxable profit/loss,29  taxable profit/loss,29  taxable profit/loss,29  taxable profit/loss,29  taxable profit/loss,29  taxable profit/loss
taxAdjustments,0,0,0,Tax Adjustments/Loss,Tax Adjustments/Loss,Text30.26.0,Text30.26.0,28 Tax adjustments,28 Tax adjustments,28 Tax adjustments,28 Tax adjustments,28 Tax adjustments,28 Tax adjustments,28 Tax adjustments,28 Tax adjustments,28 Tax adjustments
netProfitBeforeTax,0,0,0,Net Profit/Loss,Net Profit/Loss,Text30.25,Text30.25,27 Net profit/loss,27 Net profit/loss,27 Net profit/loss,27 Net profit/loss,27 Net profit/loss,27 Net profit/loss,27 Net profit/loss,27 Net profit/loss,27 Net profit/loss
accountsReceivable,2.4.4.18.1.0.0,2.4.4.18.1.0.0,2.4.4.18.1.0.0,accounts receivable,accounts receivable,pg2.0,pg2.0,30 Assets - Accounts receivable,30 Assets - Accounts receivable,30 Assets - Accounts receivable,30 Assets - Accounts receivable,30 Assets - Accounts receivable,30 Assets - Accounts receivable,30 Assets - Accounts receivable,30 Assets - Accounts receivable,30 Assets - Accounts receivable
bankAccountAssets,2.4.4.18.1.0.1,2.4.4.18.1.0.1,2.4.4.18.1.0.1,cash deposits,cash deposits,pg2.1,pg2.1,0,0,0,0,0,0,0,0,0
