formField,2010,2011,2012,2013,2014,2015,2016,2017,2018
yearEnded,year ended,year ended,year ended,year,year,Year ended 31 March,Year ended 31 March,Year ended 31 March,Year ended 31 March
irdNumber,IRD 1,IRD 1,IRD 1,IRD number,IRD number,Text28,Text28,Text28,Text28
fullName,your full name,your full name,your full name,Full Name,Full Name,Full name,Full name,Full name,Full name
multipleActivityRadio,1 yes/no,1 yes/no,1 yes/no,Yes/No 1,Yes/No 1,Group29,Group29,Group29,Group29
multipleActivityRadio_true,Choice1,Choice1,Choice1,Choice1,Choice1,Choice1,Choice1,Choice1,Choice1
multipleActivityRadio_false,Choice2,Choice2,Choice2,Choice2,Choice2,Choice2,Choice2,Choice2,Choice2
grossIncome,2,2,2,sales/services,sales/services,Text30.0,Text30.0,Text30.0,Text30.0
openingStock,2.1,2.1,2.1,opening stock,opening stock,Text30.1,Text30.1,Text30.1,Text30.1
purchases,2.2,2.2,2.2,purchases,purchases,Text30.2,Text30.2,Text30.2,Text30.2
closingStock,2.3,2.3,2.3,closing stock,closing stock,Text30.3,Text30.3,Text30.3,Text30.3
grossProfit,2.4.0,2.4.0,2.4.0,Gross Profit/Loss,Gross Profit/Loss,Text30.4,Text30.4,Text30.4,Text30.4
interestReceived,2.4.1,2.4.1,2.4.1,gross interest,gross interest,Text30.5,Text30.5,Text30.5,Text30.5
dividends,2.4.2,2.4.2,2.4.2,dividends,dividends,Text30.6,Text30.6,Text30.6,Text30.6
leasePayments,2.4.3,2.4.3,2.4.3,"gross rentals, etc","gross rentals, etc",Text30.7,Text30.7,Text30.7,Text30.7
otherIncome,2.4.4.0.0,2.4.4.0.0,2.4.4.0.0,other income,other income,Text30.8,Text30.8,Text30.8,Text30.8
totalIncome,2.4.4.0.1,2.4.4.0.1,2.4.4.0.1,Total Income/Loss,Total Income/Loss,Text30.9,Text30.9,Text30.9,Text30.9
badDebts,2.4.4.1,2.4.4.1,2.4.4.1,bad debts,bad debts,Text30.10,Text30.10,Text30.10,Text30.10
depreciation,2.4.4.2,2.4.4.2,2.4.4.2,accounting,accounting,Text30.11,Text30.11,Text30.11,Text30.11
entertainment,2.4.4.3,2.4.4.3,2.4.4.3,0,0,0,0,0,0
fringeBenefitTax,2.4.4.4,2.4.4.4,2.4.4.4,0,0,0,0,0,0
insurance,2.4.4.5,2.4.4.5,2.4.4.5,insurance,insurance,Text30.12,Text30.12,Text30.12,Text30.12
consultingFees,0,0,0,consulting,consulting,Text30.14,Text30.14,Text30.14,Text30.14
interestExpenses,2.4.4.6,2.4.4.6,2.4.4.6,interest loss,interest loss,Text30.13,Text30.13,Text30.13,Text30.13
legalExpenses,2.4.4.7,2.4.4.7,2.4.4.7,consulting,consulting,consulting,consulting,consulting,consulting
rates,2.4.4.8,2.4.4.8,2.4.4.8,rates,rates,Text30.15,Text30.15,Text30.15,Text30.15
leasePaymentExpenses,2.4.4.9,2.4.4.9,2.4.4.9,"rentals, etc loss","rentals, etc loss",Text30.16,Text30.16,Text30.16,Text30.16
repairs,2.4.4.10,2.4.4.10,2.4.4.10,maintenance,maintenance,Text30.17,Text30.17,Text30.17,Text30.17
researchAndDevelopment,2.4.4.11,2.4.4.11,2.4.4.11,R&D,R&D,Text30.18,Text30.18,Text30.18,Text30.18
relatedPartyRenumeration,0,0,0,remuneration,remuneration,Text30.19,Text30.19,Text30.19,Text30.19
salaryAndWages,2.4.4.12,2.4.4.12,2.4.4.12,salaries/wages,salaries/wages,Text30.20,Text30.20,Text30.20,Text30.20
subcontractorPayments,2.4.4.13,2.4.4.13,2.4.4.13,contractors,contractors,Text30.21,Text30.21,Text30.21,Text30.21
travel,2.4.4.14,2.4.4.14,2.4.4.14,0,0,0,0,0,0
vehicleExpenses,2.4.4.15,2.4.4.15,2.4.4.15,0,0,0,0,0,0
otherExpenses,2.4.4.16,2.4.4.16,2.4.4.16,other expenses,other expenses,Text30.22,Text30.22,Text30.22,Text30.22
totalExpenses,2.4.4.17,2.4.4.17,2.4.4.17,Total Expenses,Total Expenses,Text30.23,Text30.23,Text30.23,Text30.23
exceptionalItems,0,0,0,Exceptional items or loss,Exceptional items or loss,Text30.24,Text30.24,Text30.24,Text30.24
taxableProfit,2.4.4.18.0,2.4.4.18.0,2.4.4.18.0,Taxable Profit/Loss,Taxable Profit/Loss,Text30.26.1,Text30.26.1,Text30.26.1,Text30.26.1
taxAdjustments,0,0,0,Tax Adjustments/Loss,Tax Adjustments/Loss,Text30.26.0,Text30.26.0,Text30.26.0,Text30.26.0
netProfitBeforeTax,0,0,0,Net Profit/Loss,Net Profit/Loss,Text30.25,Text30.25,Text30.25,Text30.25
accountsReceivable,2.4.4.18.1.0.0,2.4.4.18.1.0.0,2.4.4.18.1.0.0,accounts receivable,accounts receivable,pg2.0,pg2.0,pg2.0,pg2.0
bankAccountAssets,2.4.4.18.1.0.1,2.4.4.18.1.0.1,2.4.4.18.1.0.1,cash deposits,cash deposits,pg2.1,pg2.1,pg2.1,pg2.1
otherCurrentAssets,2.4.4.18.1.0.2,2.4.4.18.1.0.2,2.4.4.18.1.0.2,other assets,other assets,pg2.2,pg2.2,pg2.2,pg2.2
totalCurrentAssets,2.4.4.18.1.0.3,2.4.4.18.1.0.3,2.4.4.18.1.0.3,0,0,0,0,0,0
vehicleAssets,2.4.4.18.1.1,2.4.4.18.1.1,2.4.4.18.1.1,vehicles,vehicles,pg2.3,pg2.3,pg2.3,pg2.3
plantAssets,2.4.4.18.1.2,2.4.4.18.1.2,2.4.4.18.1.2,plant/machinery,plant/machinery,pg2.4,pg2.4,pg2.4,pg2.4
furnitureAssets,2.4.4.18.1.3,2.4.4.18.1.3,2.4.4.18.1.3,furniture,furniture,pg2.5,pg2.5,pg2.5,pg2.5
landAndBuildings,2.4.4.18.1.4,2.4.4.18.1.4,2.4.4.18.1.4,0,0,0,0,0,0
land,0,0,0,land,land,pg2.6,pg2.6,pg2.6,pg2.6
buildings,0,0,0,buildings,buildings,pg2.7,pg2.7,pg2.7,pg2.7
otherFixedAssets,2.4.4.18.1.5,2.4.4.18.1.5,2.4.4.18.1.5,other fixed assets,other fixed assets,pg2.8,pg2.8,pg2.8,pg2.8
totalFixedAssets,2.4.4.18.1.6,2.4.4.18.1.6,2.4.4.18.1.6,0,0,0,0,0,0
intangibles,2.4.4.18.1.7,2.4.4.18.1.7,2.4.4.18.1.7,intangibles,intangibles,pg2.9,pg2.9,pg2.9,pg2.9
preferenceShares,2.4.4.18.1.8,2.4.4.18.1.8,2.4.4.18.1.8,0,0,0,0,0,0
sharesAndDebentures,2.4.4.18.1.9,2.4.4.18.1.9,2.4.4.18.1.9,shares,shares,pg2.10,pg2.10,pg2.10,pg2.10
termDeposits,2.4.4.18.1.10,2.4.4.18.1.10,2.4.4.18.1.10,term deposits,term deposits,pg2.11,pg2.11,pg2.11,pg2.11
otherNonCurrentAssets,0,0,0,other n/c assets,other n/c assets,pg2.12,pg2.12,pg2.12,pg2.12
otherAssets,2.4.4.18.1.11,2.4.4.18.1.11,2.4.4.18.1.11,other n/c assets,other n/c assets,pg2.12,pg2.12,pg2.12,pg2.12
totalAssets,2.4.4.18.1.12,2.4.4.18.1.12,2.4.4.18.1.12,Total Assets,Total Assets,pg2.13,pg2.13,pg2.13,pg2.13
provisions,0,0,0,provisions,provisions,pg2.14,pg2.14,pg2.14,pg2.14
accountsPayable,2.4.4.18.1.13,2.4.4.18.1.13,2.4.4.18.1.13,accounts payable,accounts payable,pg2.15,pg2.15,pg2.15,pg2.15
currentLoans,0,0,0,loans,loans,pg2.16,pg2.16,pg2.16,pg2.16
bankAccountLiabilities,2.4.4.18.1.14,2.4.4.18.1.14,2.4.4.18.1.14,0,0,0,0,0,0
otherCurrentLiabilities,2.4.4.18.1.15,2.4.4.18.1.15,2.4.4.18.1.15,other liabilities,other liabilities,pg2.17,pg2.17,pg2.17,pg2.17
totalCurrentLiabilities,2.4.4.18.1.16,2.4.4.18.1.16,2.4.4.18.1.16,Total Current Liabilities,Total Current Liabilities,pg2.18,pg2.18,pg2.18,pg2.18
nonCurrentLiabilities,0,0,0,n/c  liabilities,n/c  liabilities,pg2.19,pg2.19,pg2.19,pg2.19
