fieldName,2017,2018,2019,2020,2021,2022,2023,2024,2025
irdNumber,1 IRD 1,1 IRD 1,1 IRD 1,1 IRD number,1 IRD number,1 IRD number,1 IRD number,1 IRD number,1 IRD number
companyTradingNameLine1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
companyTradingNameLine2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
postalAddressLine1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
postalAddressLine2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
streetAddressLine1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
streetAddressLine2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
bicCode,6,6,6,6,6.2,6.2,6.2,6.2,6.2
phonePrefix,7 prefix,7 prefix,7 prefix,7 prefix,7 prefix,7 prefix,7 prefix,7 prefix,7 prefix
phoneNumber,7 ph number,7 ph number,7 ph number,7 ph number,7 ph number,7 ph number,7 ph number,7 ph number,7 ph number
bankNumber,8 bank,8 bank,8 bank,8 bank,8 bank,8 bank,8 bank,8 bank,8 bank
branchNumber,8 branch,8 branch,8 branch,8 branch,8 branch,8 branch,8 branch,8 branch,8 branch
bankAccountNumber,8 account no,8 account no,8 account no,8 account no,8 account no,8 account no,8 account no,8 account no,8 account no
bankSuffix,8 suffix,8 suffix,8 suffix,8 suffix,8 suffix,8 suffix,8 suffix,8 suffix,8 suffix
nonResident,9,9,9,9,9,9,9,9,9
nonResident_true,No,No,No,No,No,No,No,No,No
nonResident_false,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
imputationReturnIncluded,10,10,10,10,10,10,10,10,10
imputationReturnIncluded_true,No,No,No,No,No,No,No,No,No
imputationReturnIncluded_false,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
imputationMonetaryEntries,10A,10A,10A,10A,10A,10A,10A,10A,10A
imputationMonetaryEntries_true,No,No,No,No,No,No,No,No,No
imputationMonetaryEntries_false,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
