,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
partnershipName,0,0,1,1,1,1,1,1,1,1,partnership name,partnership name,partnership name,partnership name,partnership name,partnership name
irdNumber,0,0,2,2,2,2,2,2,2,2,IRD number,IRD number,IRD number,IRD number,IRD number,IRD number
partnersName1,0,0,3,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,partners name 1,partners name 1,partners name 1,partners name 1,partners name 1,partners name 1
partnersIRDNumber1,0,0,4,4.0.0,4.0.0,4.0.0,4.0.0,4.0.0,4.0.0,4.0.0,26A,26A,26A,26A,26A,26A
partnersInterest1,0,0,5,5.0.0,5.0.0,5.0.0,5.0.0,5.0.0,5.0.0,5.0.0,26C,26C,26C,26C,26C,26C
partnersDividends1,0,0,6,6.0.0,6.0.0,6.0.0,6.0.0,6.0.0,6.0.0,6.0.0,26D,26D,26D,26D,26D,26D
partnersMA1,0,0,7,7.0.0,7.0.0,7.0.0,7.0.0,7.0.0,7.0.0,7.0.0,26E,26E,26E,26E,26E,26E
partnersOA1,0,0,8,8.0.0,8.0.0,8.0.0,8.0.0,8.0.0,8.0.0,8.0.0,26F,26F,26F,26F,26F,26F
partnersRentalIncome1,0,0,10,9.0.0,9.0.0,9.0.0,9.0.0,9.0.0,9.0.0,9.0.0,26H,26H,26H,26H,26H,26H
partnersPassiveIncome1,0,0,11,10.0.0,10.0.0,10.0.0,10.0.0,10.0.0,10.0.0,10.0.0,26I,26I,26I,26I,26I,26I
partnersOtherIncome1,0,0,12,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,12.0.0,26J,26J,26J,26J,26J,26J
partnersLAQCLoss1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
partnersTotalIncome1,0,0,15,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,13.0.0,26K,26K,26K,26K,26K,26K
partnersProportion1,0,0,14,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,14.0.0,26B,26B,26B,26B,26B,26B
partnersExtinguishedLosses1,0,0,16,15.0.0,15.0.0,15.0.0,15.0.0,15.0.0,15.0.0,15.0.0,26L,26L,26L,26L,26L,26L
partnersOverseasTaxPaid1,0,0,17,16.0.0,16.0.0,16.0.0,16.0.0,16.0.0,16.0.0,16.0.0,26N,26N,26N,26N,26N,26N
partnersImputationCredits1,0,0,18,17.0.0,17.0.0,17.0.0,17.0.0,17.0.0,17.0.0,17.0.0,26O,26O,26O,26O,26O,26O
partnersOtherTaxCredits1,0,0,19,18.0.0,18.0.0,18.0.0,18.0.0,18.0.0,18.0.0,18.0.0,26P,26P,26P,26P,26P,26P
partnersName2,0,0,20,3.0.1,3.0.1,3.0.1,3.0.1,3.0.1,3.0.1,3.0.1,partners name 2,partners name 2,partners name 2,partners name 2,partners name 2,partners name 2
partnersIRDNumber2,0,0,21,4.0.1,4.0.1,4.0.1,4.0.1,4.0.1,4.0.1,4.0.1,26A 2,26A 2,26A 2,26A 2,26A 2,26A 2
partnersInterest2,0,0,22,5.0.1,5.0.1,5.0.1,5.0.1,5.0.1,5.0.1,5.0.1,26C 2,26C 2,26C 2,26C 2,26C 2,26C 2
partnersDividends2,0,0,23,6.0.1,6.0.1,6.0.1,6.0.1,6.0.1,6.0.1,6.0.1,26D 2,26D 2,26D 2,26D 2,26D 2,26D 2
partnersMA2,0,0,24,7.0.1,7.0.1,7.0.1,7.0.1,7.0.1,7.0.1,7.0.1,26E 2,26E 2,26E 2,26E 2,26E 2,26E 2
partnersOA2,0,0,25,8.0.1,8.0.1,8.0.1,8.0.1,8.0.1,8.0.1,8.0.1,26F 2,26F 2,26F 2,26F 2,26F 2,26F 2
partnersRentalIncome2,0,0,27,9.0.1,9.0.1,9.0.1,9.0.1,9.0.1,9.0.1,9.0.1,26H 2,26H 2,26H 2,26H 2,26H 2,26H 2
partnersPassiveIncome2,0,0,28,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,10.0.1,26I 2,26I 2,26I 2,26I 2,26I 2,26I 2
partnersOtherIncome2,0,0,29,12.0.1,12.0.1,12.0.1,12.0.1,12.0.1,12.0.1,12.0.1,26J 2,26J 2,26J 2,26J 2,26J 2,26J 2
partnersLAQCLoss2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
